"pvalue" "adjpvalue" "logFC"
"BIRC5" 9.1695853696565e-46 4.59305100705558e-44 3.26179335736359
"GRIK4" 9.32120116600949e-46 4.65454035933644e-44 -2.67183465237983
"NRG3" 1.13978408688897e-45 5.67394368439264e-44 -2.86856082519134
"RRM2" 1.23962779949281e-45 6.15198670092909e-44 2.93521902202895
"CCNB1" 1.51963172194896e-45 7.51844786604746e-44 2.58854361320866
"VIPR1" 1.76963214380261e-45 8.7285617270313e-44 -3.26882817621898
"LRRN3" 1.89167225940589e-45 9.28010248355322e-44 -3.33260814641075
"GPX3" 1.89295909051337e-45 9.28010248355322e-44 -2.60680405013107
"FOXM1" 1.96355247460976e-45 9.59701147363055e-44 2.94339184871787
"PEAR1" 2.0681031900072e-45 1.00774732180139e-43 -2.11791433254373
"ZWINT" 2.13564314170327e-45 1.03752374194374e-43 2.35257841308481
"RCAN1" 2.19721178929215e-45 1.06422909758238e-43 -1.73370529094674
"WFS1" 2.39550422415001e-45 1.15679903087771e-43 -1.74319799230027
"CAV2" 2.56097819364312e-45 1.23301544135134e-43 -2.74350506418984
"COX7A1" 2.62882442420979e-45 1.26191396244285e-43 -1.92755324806245
"GPA33" 3.1831064739408e-45 1.52345176018371e-43 -3.80990840437394
"NUSAP1" 3.68474337318772e-45 1.75832029189777e-43 2.33839382515188
"FERMT1" 3.78782594641764e-45 1.80217830943275e-43 2.82657350225546
"GPT2" 3.94748774405085e-45 1.8726185242293e-43 2.82400601441337
"SEMA5A" 3.99957780648605e-45 1.89176511556638e-43 -2.83276931780621
"FOLR3" 4.15572670885531e-45 1.95987473938969e-43 -3.65939707150025
"NOTCH4" 4.20903129523703e-45 1.97922640702268e-43 -1.82129480499289
"PPP1R14B" 4.39216569800378e-45 2.0593383878809e-43 1.95838741650689
"TACC1" 4.77153340950837e-45 2.23072644527422e-43 -1.91849404269956
"KLF6" 5.03926377375727e-45 2.3490833932639e-43 -1.75700080572748
"PPP1R15A" 5.11983410181901e-45 2.37976381061207e-43 -1.76296086769636
"KL" 5.24349950560343e-45 2.43024148062867e-43 -3.06162377974277
"PEAK1" 5.26101874705366e-45 2.43137453785755e-43 -1.62238214759524
"SULT1C4" 5.46444184523651e-45 2.51187430145414e-43 -2.52388211325185
