Gene Symbol	Gene ID	Disease Name	Disease ID	Direct Evidence	Inference Network	Inference Score	Reference Count
SPAG16	79582	Adenocarcinoma of Lung	MESH:D000077192		Cisplatin|Genistein|Vehicle Emissions	8.94	4
SPEN	23013	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
SPIDR	23514	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Cisplatin|Particulate Matter	8.94	5
SULT1A1	6817	Adenocarcinoma of Lung	MESH:D000077192		Arsenic Trioxide|Cisplatin|Genistein|Resveratrol|trichostatin A|Vinblastine	8.94	7
SUMF2	25870	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Cisplatin|Particulate Matter	8.94	5
TNK1	8711	Adenocarcinoma of Lung	MESH:D000077192		Arsenic Trioxide|Cisplatin|Vehicle Emissions	8.94	5
TPRA1	131601	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
TTC30B	150737	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
TTLL12	23170	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
ZNF185	7739	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Cisplatin|Particulate Matter	8.94	5
ZNF395	55893	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Tobacco Smoke Pollution|Urethane	8.94	1
ACOT12	134526	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.93	2
AGXT2	64902	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.93	2
ARHGEF9	23229	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.93	2
ARMC9	80210	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.93	2
BCL11B	64919	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.93	2
CACFD1	11094	Adenocarcinoma of Lung	MESH:D000077192		Cisplatin|Urethane|Vehicle Emissions	8.93	5
CCL12	20293	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		Asbestos, Amphibole|Tobacco Smoke Pollution	8.93	2
CELF2	10659	Adenocarcinoma of Lung	MESH:D000077192		Cisplatin|Particulate Matter|trichostatin A|Vehicle Emissions	8.93	6
COMMD4	54939	Adenocarcinoma of Lung	MESH:D000077192		Cisplatin|Urethane|Vehicle Emissions	8.93	5
CUBN	8029	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.93	2
ETFA	2108	Adenocarcinoma of Lung	MESH:D000077192		Air Pollutants|Arsenic Trioxide|Resveratrol|Vehicle Emissions	8.93	5
GAK	2580	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.93	2
GZF1	64412	Adenocarcinoma of Lung	MESH:D000077192		Cisplatin|Urethane|Vehicle Emissions	8.93	5
HNF1A	6927	Adenocarcinoma of Lung	MESH:D000077192		Cisplatin|Genistein|Resveratrol|Urethane	8.93	6
IFNLR1	163702	Adenocarcinoma of Lung	MESH:D000077192		Cisplatin|Urethane|Vehicle Emissions	8.93	5
MALL	7851	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.93	2
MERTK	10461	Adenocarcinoma of Lung	MESH:D000077192		Arsenic Trioxide|Cisplatin|trichostatin A|Urethane	8.93	7
MFSD4A	148808	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.93	2
MGAT4A	11320	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.93	2
MYO18A	399687	Adenocarcinoma, Bronchiolo-Alveolar	MESH:D002282		ethylene dichloride|Tobacco Smoke Pollution	8.93	2
